cr;c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113;c114;c115;c116;c117;c118;c119;c120;c121;c122;c123;c124;c125;c126;c127;c128;c129;c130;c131;c132;c133;c134;c135;c136;c137;c138;c139;c140;c141;c142;c143;c144;c145;c146;c147;c148;c149;c150;c151;c152;c153;c154;c155;c156;c157;c158;c159;c160;c161;c162;c163;c164;c165;c166;c167;c168;c169;c170;c171;c172;c173;c174;c175;c176;c177;c178;c179;c180;c181;c182;c183;c184;c185;c186;c187;c188;c189;c190;c191;c192;c193;c194;c195;c196;c197;c198;c199;c200;c201;c202;c203;c204;c205;c206;c207;c208;c209;c210;c211;c212;c213;c214;c215;c216;c217;c218;c219;c220;c221;c222;c223;c224;c225;c226;c227;c228;c229;c230;c231;c232;c233;c234;c235;c236;c237;c238;c239;c240;c241;c242;c243;c244;c245;c246;c247;c248;c249;c250;c251;c252;c253;c254;c255;c256;c257;c258;c259;c260;c261;c262;c263;c264;c265;c266;c267;c268;c269;c270;c271;c272;c273;c274;c275;c276;c277;c278;c279;c280;c281;c282;c283;c284;c285;c286;c287;c288;c289;c290;c291;c292;c293;c294;c295;c296;c297;c298;c299
r10;17.407;27.502;23.486;23.929;12.414;21.48;13.428;20.203;9.185;17.448;22.068;1.619;1.921;24.459;20.536;8.58;12.846;13.018;23.042;4.816;23.429;6.104;14.302;7.072;2.307;12.266;15.259;3.417;9.501;16.206;2.237;12.916;3.942;13.71;10.951;25.621;10.735;16.186;12.903;28.604;20.281;28.4;26.038;2.899;24.117;19.131;25.66;17.377;24.194;1.14;20.243;5.466;28.725;3.478;8.08;6.567;6.882;14.527;23.547;15.545;16.514;10.366;22.257;18.133;19.388;20.071;6.181;15.748;20.509;17.642;21.905;21.973;19.393;25.166;19.612;8.987;3.085;19.247;7.587;28.773;10.679;22.998;17.64;12.165;28.959;7.201;29.853;12.906;8.395;3.975;9.718;18.599;25.655;17.888;20.63;5.229;9.084;24.145;5.611;15.211;23.794;2.596;19.394;20.846;16.026;21.102;4.844;3.27;12.574;19.838;10.867;8.672;24.444;25.988;7.358;17.286;12.32;16.26;13.727;17.683;22.393;17.051;28.948;12.065;27.015;4.369;11.822;15.31;5.566;9.746;21.162;27.743;27.601;25.735;15.759;1.008;26.549;14.545;2.589;12.302;11.428;9.472;18.051;2.514;4.533;16.953;25.818;10.689;5.32;6.554;25.651;28.684;19.29;22.029;27.392;6.621;3.69;14.928;18.657;25.686;18.796;19.052;6.766;1.33;5.023;11.263;6.479;28.511;13.257;25.996;10.881;19.326;12.056;15.656;9.41;26.807;21.682;8.791;4.791;20.875;28.362;10.865;25.656;8.869;29.49;20.397;17.657;18.274;20.358;28.847;6.208;21.727;11.22;28.604;8.721;12.899;22.477;11.588;27.264;28.765;6.97;16.235;2.151;12.821;28.655;12.51;13.65;1.862;14.185;12.827;23.305;6.131;9.452;20.003;2.389;10.828;9.897;5.724;21.311;28.503;2.043;22.724;29.841;23.619;28.109;15.009;9.991;2.631;10.831;25.512;9.851;3.673;3.421;13.142;27.164;5.165;18.07;3.656;18.553;8.885;10.972;8.409;6.94;26.216;10.542;12.659;21.366;25.15;6.04;9.421;24.889;26.043;20.235;13.276;14.635;1.415;10.178;28.249;9.659;7.974;2.938;15.883;28.693;7.043;22.37;25.394;12.566;12.076;29.561;26.427;19.022;11.638;5.988;28.879;26.89;20.229;9.383;6.679;20.852;25.956;10.628;26.793;26.498;8.783;26.691;22.164;1.751;22.424;2.301;3.72;1.33;19.851;18.077;7.905;1.325;16.76;19.1;22.418;2.213;23.888
r11;7.252;17.356;5.21;17.837;19.051;15.489;21.892;21.993;18.453;13.994;1.055;6.619;19.097;21.025;7.996;23.911;5.528;21.059;13.512;16.563;15.393;19.169;17.356;17.897;14.847;6.205;23.194;26.077;24.653;26.192;6.948;6.107;26.843;27.471;23.973;13.922;17.616;2.136;5.183;24.551;19.664;15.675;14.448;6.747;11.28;3.933;23.277;3.07;24.767;4.26;5.253;12.979;26.355;16.579;15.248;10.697;14.376;19.003;6.248;3.502;27.913;7.602;4.344;3.157;4.361;14.435;24.331;17.743;6.761;2.196;9.025;28.844;3.662;28.614;4.771;18.593;11.872;26.336;4.413;19.968;21.183;12.183;20.798;17.873;18.298;20.628;3.671;12.319;25.21;4.919;13.752;17.173;9.013;28.242;11.704;28.964;12.111;1.489;14.684;2.395;9.296;25.665;25.832;4.162;5.65;12.264;14.206;20.482;27.435;17.483;16.384;10.669;16.271;7.355;7.917;7.245;28.085;6.35;3.15;17.35;23.407;4.052;25.416;5.863;27.201;8.608;18.545;19.462;24.304;13.112;9.975;7.959;19.851;22.626;23.723;19.258;25.678;7.435;17.158;19.393;2.786;21.641;4.502;20.869;23.492;11.466;10.121;4.572;4.006;12.999;12.613;2.965;6.905;2.119;11.361;15.582;21.524;23.026;2.644;19.011;12.553;14.288;7.965;6.188;15.947;8.739;6.208;22.696;1.923;9.613;16.713;5.533;19.094;16.398;24.788;9.267;11.423;24.844;4.988;1.764;28.013;13.812;5.831;16.507;16.064;28.665;7.072;6.35;5.955;27.59;29.907;6.137;22.047;14.712;16.579;25.877;19.491;28.55;11.79;3.572;8.263;20.154;7.838;19.746;19.037;15.344;19.644;14.008;16.883;1.714;16.519;12.083;23.447;15.232;10.818;22.825;21.228;15.242;26.204;14.729;16.747;7.882;1.264;11.97;11.322;23.964;4.053;22.813;3.883;2.235;25.052;15.823;3.731;23.725;10.336;19.376;20.017;24.844;15.155;21.019;20.174;11.184;13.264;8.001;7.017;3.309;8.909;2.0;12.3;21.076;7.126;28.433;16.871;16.28;19.965;2.874;18.87;29.748;17.089;29.913;2.657;24.243;9.304;27.045;25.552;22.288;25.865;15.074;1.443;15.505;9.826;10.905;7.21;23.471;24.851;7.271;27.049;3.325;21.352;16.995;25.628;18.095;26.19;28.89;14.858;10.621;2.556;1.744;21.958;6.416;21.857;5.001;17.914;18.48;27.811;15.144;5.126;5.96;17.933;13.563
r12;15.513;12.85;16.181;7.321;1.619;5.792;1.262;16.68;3.313;7.869;13.715;24.812;27.083;2.421;15.497;25.114;25.319;18.197;19.446;5.896;23.384;23.016;2.322;13.674;29.158;11.057;18.801;12.665;22.469;24.745;8.905;26.468;10.042;14.269;24.562;24.347;17.94;17.377;25.155;16.149;18.492;3.601;23.218;5.641;16.708;1.444;24.264;11.345;12.337;8.544;7.184;1.78;15.741;8.166;26.327;10.885;29.374;28.657;8.193;11.477;4.96;24.254;19.561;7.345;27.126;22.326;29.816;11.565;2.708;1.027;2.978;17.996;26.471;19.701;17.164;8.22;28.08;20.951;3.156;16.165;19.822;4.983;3.976;28.958;28.872;1.072;5.081;5.742;7.502;28.609;25.001;7.508;1.936;1.926;27.445;4.727;2.606;4.316;23.343;21.508;6.688;24.907;21.16;10.566;9.81;19.221;10.519;21.681;1.973;15.394;3.068;29.408;12.366;2.179;6.895;17.701;3.155;17.925;26.812;14.082;8.287;24.978;20.291;6.913;8.101;9.75;12.236;19.232;3.063;5.833;15.891;28.06;29.519;12.869;19.419;26.828;10.192;9.569;12.609;14.625;13.466;2.99;7.336;7.706;15.082;12.722;18.433;24.667;27.076;20.392;28.275;15.323;3.059;14.995;25.943;14.921;1.566;18.019;28.385;18.777;27.311;15.356;24.486;9.499;4.347;16.528;2.009;24.589;23.998;3.725;16.606;25.008;15.122;4.832;7.258;8.662;14.733;6.783;16.424;3.046;19.591;23.995;26.462;20.086;16.36;6.511;6.47;1.937;2.685;28.576;7.727;28.851;8.417;8.078;22.397;22.512;13.034;15.68;21.67;3.025;28.035;16.049;3.2;28.011;8.891;4.185;9.873;13.483;14.42;23.189;19.506;10.908;4.117;9.724;21.452;24.619;9.178;2.16;2.551;20.97;5.831;17.458;26.456;23.056;22.472;8.612;10.549;26.074;10.075;6.241;6.769;11.919;25.567;5.883;13.556;17.372;10.423;23.86;23.789;16.529;10.408;2.733;8.379;21.08;9.205;5.811;8.774;13.176;22.24;6.602;8.713;21.928;13.453;2.02;1.039;3.051;17.318;3.82;5.864;17.756;20.747;10.956;10.477;26.285;1.716;29.277;11.694;5.061;25.836;8.027;5.925;21.763;27.06;21.883;21.818;13.512;6.923;11.99;16.024;20.664;14.441;11.036;27.495;13.863;5.681;17.841;11.766;14.415;25.73;24.849;9.547;6.202;25.318;10.469;27.138;28.838;6.066;8.564;9.823;17.68
r13;4.534;10.327;17.432;21.517;16.925;26.954;19.699;29.582;7.942;27.221;13.867;7.248;2.09;21.535;5.029;19.231;27.776;23.381;2.827;23.455;22.606;26.371;10.675;26.803;1.9;22.994;19.55;3.376;3.123;20.691;8.992;23.273;28.67;16.501;22.955;17.181;7.21;11.522;11.97;15.532;12.15;9.109;25.158;19.76;6.299;13.866;25.744;24.766;4.989;10.357;22.654;2.717;10.349;21.189;22.067;29.176;12.617;4.162;28.141;12.467;5.722;29.589;2.399;26.267;26.487;7.57;19.217;5.302;5.347;25.022;3.843;13.101;25.471;4.482;19.233;4.181;4.276;22.89;25.668;25.725;25.639;25.315;23.607;14.254;15.633;11.441;6.8;16.508;14.108;7.335;12.481;29.104;7.382;6.832;6.499;17.351;19.253;5.684;21.504;28.091;29.1;29.877;2.601;2.364;29.212;24.737;5.953;24.267;24.54;5.041;18.645;29.89;3.334;10.01;2.799;6.479;14.304;7.405;12.976;6.495;26.891;17.545;17.664;15.302;26.208;14.108;22.663;17.013;28.319;7.326;24.06;6.59;12.105;24.738;20.056;23.269;9.389;27.832;14.859;27.071;5.969;9.789;26.469;10.52;16.351;28.045;1.888;3.426;28.377;11.639;19.471;4.859;26.048;23.92;2.081;28.445;17.443;13.473;5.635;19.383;24.859;20.083;9.459;24.088;6.724;7.813;5.285;29.526;13.053;10.565;8.217;5.957;11.641;18.862;29.399;25.341;7.814;8.243;3.027;7.117;23.27;21.343;20.119;5.717;23.577;8.263;24.756;2.65;19.217;2.349;17.635;4.159;10.549;12.47;25.887;7.175;2.276;29.054;8.696;4.772;25.607;21.144;14.286;16.539;23.511;21.303;14.585;7.514;9.397;18.884;23.789;3.359;26.897;14.315;2.166;2.983;14.693;20.045;5.104;7.244;24.532;7.573;23.13;22.661;15.54;1.601;18.637;27.269;18.566;6.369;25.228;6.868;24.101;5.806;6.636;19.519;12.472;27.579;27.24;17.022;26.225;14.577;20.254;10.747;14.228;22.493;2.273;5.824;12.264;26.33;12.532;14.835;22.906;14.715;26.43;27.166;15.619;13.443;16.209;9.042;1.061;26.47;9.686;4.507;29.313;22.282;29.224;12.812;26.6;8.452;18.28;23.62;20.495;4.814;12.436;21.905;12.295;29.995;12.781;14.03;15.026;2.755;27.313;20.3;10.654;25.935;24.489;8.4;14.695;26.342;26.204;23.73;22.744;29.331;21.162;5.448;7.303;2.199;22.99;11.135
r14;1.544;5.211;27.573;1.661;16.036;21.644;22.206;22.516;27.267;25.452;7.538;16.173;10.983;28.044;5.465;9.384;25.596;29.786;14.125;6.957;8.737;25.258;21.745;26.115;10.92;5.829;24.795;6.745;21.256;27.411;13.743;18.848;18.267;24.425;20.669;21.241;15.959;2.943;29.675;10.821;12.983;19.665;10.958;14.545;22.915;10.884;13.209;25.569;28.334;1.562;22.638;4.31;12.635;5.025;1.777;18.891;22.757;26.036;10.97;23.629;21.664;9.834;8.53;29.382;22.294;26.204;24.73;1.54;19.225;6.875;28.746;22.665;8.902;27.914;13.228;1.598;4.911;3.527;13.079;22.538;18.076;29.957;6.725;3.401;27.672;18.77;9.302;19.429;21.959;18.878;18.725;6.484;29.02;24.283;9.395;19.037;11.154;16.994;13.864;5.698;9.207;22.647;19.335;2.888;25.822;26.948;20.429;3.697;15.752;19.822;16.81;12.115;7.452;29.661;5.105;10.447;24.313;14.572;10.351;26.608;5.343;11.376;8.0;9.353;5.451;6.199;2.845;8.931;11.205;2.628;19.781;18.863;1.242;4.869;8.026;11.245;16.727;18.98;13.897;11.898;22.253;24.104;8.459;20.261;24.82;20.34;28.14;21.076;15.316;7.218;15.805;1.83;6.254;17.543;7.432;5.386;27.459;5.731;16.549;16.52;1.054;9.081;15.903;16.175;11.343;23.733;7.988;25.822;6.469;27.618;19.738;9.97;27.109;8.912;28.08;13.401;17.532;19.21;26.357;7.709;4.124;21.483;24.045;24.37;15.88;22.749;11.312;19.079;9.682;8.238;27.158;3.647;16.058;19.209;29.624;14.155;9.824;7.752;21.128;18.119;27.835;9.122;23.688;12.617;11.372;4.618;21.975;22.733;7.911;29.698;8.778;10.411;1.62;3.335;24.39;29.14;16.994;8.213;5.712;11.424;2.455;28.924;16.658;27.237;8.106;13.151;16.159;7.641;4.656;6.527;10.363;27.244;8.831;20.964;11.11;21.381;1.772;3.259;15.318;16.351;2.985;23.316;16.867;7.461;27.734;11.461;15.653;27.906;22.659;2.987;27.202;19.275;15.081;9.052;20.662;10.234;5.223;7.524;11.385;13.322;18.323;28.707;19.227;25.54;11.529;10.232;25.525;20.32;23.368;3.551;13.232;16.914;27.541;29.424;18.895;5.134;28.212;18.93;9.436;29.649;29.01;29.177;19.145;24.728;10.24;24.239;20.942;10.163;28.947;7.258;21.295;19.524;14.61;17.414;27.497;21.005;23.68;6.517;2.5;11.522
r15;13.924;20.678;1.773;25.711;22.422;24.163;26.55;1.006;6.238;11.474;29.402;23.362;5.152;1.124;1.363;29.281;25.03;2.18;7.476;16.285;6.649;15.971;2.015;12.452;24.443;25.493;28.427;29.028;7.674;14.802;9.8;5.815;2.897;18.869;13.15;29.749;15.811;13.697;9.58;12.539;29.224;13.368;26.99;11.629;25.242;19.302;6.477;6.531;22.268;4.242;24.904;4.497;2.398;3.957;10.564;15.89;23.119;25.976;1.65;24.17;23.32;4.74;26.409;17.291;23.74;24.41;26.918;23.396;13.965;8.814;22.425;13.009;2.58;5.243;16.919;27.639;8.852;5.639;13.046;23.162;7.648;28.321;9.79;10.343;15.531;5.538;1.718;17.614;17.91;9.276;27.787;19.301;18.859;16.73;24.183;21.052;24.35;11.835;24.827;11.168;25.503;8.685;21.981;6.197;29.071;19.344;1.846;13.874;25.257;29.757;19.404;2.808;4.764;6.995;7.543;13.274;13.034;8.402;16.789;4.887;23.822;6.613;19.747;13.69;25.156;29.149;17.801;7.384;12.154;25.746;3.141;29.598;24.484;18.186;29.651;25.84;16.584;20.966;19.895;3.001;4.773;17.76;14.176;18.639;22.031;2.029;19.738;1.8;4.149;28.436;15.668;5.802;1.02;24.237;27.866;25.28;16.383;19.629;12.587;14.611;7.823;20.754;29.919;7.208;21.772;19.67;27.199;15.659;15.067;14.085;23.813;3.443;4.643;1.571;1.78;2.215;16.884;24.415;16.442;12.465;22.165;12.379;26.511;2.231;14.194;5.259;10.288;29.259;17.908;4.617;1.79;1.352;18.347;19.942;13.341;7.743;18.652;16.003;12.86;5.741;17.726;17.866;19.611;22.3;9.593;11.61;11.461;12.832;23.039;10.847;7.616;11.163;17.129;9.52;10.095;8.261;16.5;8.665;6.761;3.035;9.795;10.625;5.698;18.14;1.16;3.26;3.35;13.533;6.128;8.206;18.207;20.537;29.83;6.737;4.015;21.132;18.791;19.427;15.089;23.169;24.008;25.329;7.482;4.423;24.29;29.496;3.63;20.232;29.083;29.957;3.827;8.27;26.067;10.571;4.061;21.129;24.689;25.303;5.884;23.162;24.952;2.9;1.295;4.805;21.88;17.272;22.256;19.622;26.477;20.808;3.051;28.749;19.567;11.486;22.895;13.287;5.47;7.186;16.762;25.398;12.463;27.742;12.524;3.859;28.424;7.971;28.159;9.98;15.447;24.943;12.701;2.938;25.424;27.785;29.298;22.007;28.944;7.496;10.177;15.667
r16;27.418;16.071;26.086;5.32;12.145;1.463;18.661;18.227;28.113;19.808;16.091;19.474;22.759;13.452;18.937;2.731;20.242;25.01;6.089;8.708;6.755;21.214;4.426;12.145;16.616;5.038;22.89;28.507;14.832;1.265;3.341;17.524;11.619;10.587;27.433;17.854;2.407;18.298;22.424;4.635;4.878;29.272;16.454;17.613;21.752;19.04;25.1;1.583;27.006;12.354;11.058;26.474;13.266;12.417;2.085;5.26;13.629;26.629;17.802;15.249;15.048;28.684;29.78;20.754;25.827;20.833;10.05;6.614;27.894;25.17;1.754;28.517;21.196;25.73;6.584;29.103;6.696;23.382;22.9;26.06;21.963;20.976;7.59;21.314;10.24;21.1;7.751;24.198;25.294;11.215;17.375;21.807;8.643;8.485;2.165;19.975;10.44;2.585;16.738;21.186;27.402;28.239;4.69;24.977;20.318;13.165;21.685;28.766;27.023;18.947;8.703;4.165;21.653;29.424;18.162;25.702;15.72;7.329;21.075;8.289;12.439;4.766;27.671;26.273;21.353;10.826;5.657;5.407;22.09;20.277;4.059;20.224;16.155;22.055;28.356;13.353;1.861;29.598;8.831;17.243;2.804;4.59;24.905;9.346;14.899;3.508;25.631;9.045;6.525;12.833;22.765;29.513;5.877;10.759;8.929;13.755;29.186;29.166;15.085;12.57;4.154;26.182;19.665;13.104;12.274;15.873;5.781;16.432;19.362;29.45;8.432;3.42;23.546;2.436;16.236;9.327;8.508;15.738;2.233;6.897;16.928;8.475;1.294;25.051;28.111;22.052;13.76;1.636;2.256;29.36;17.477;29.693;18.388;17.541;18.552;4.589;9.197;15.229;16.113;14.453;22.991;13.819;7.39;4.75;7.276;2.45;16.925;16.69;23.785;25.338;21.391;6.462;5.967;18.272;1.618;8.154;10.346;8.374;22.409;10.921;19.195;12.036;17.265;17.818;29.626;15.746;9.748;28.816;11.922;25.079;4.263;15.163;19.665;29.86;13.887;25.835;12.15;4.56;19.054;9.043;18.168;13.709;15.476;9.449;28.602;15.176;29.323;12.396;14.383;9.638;13.799;13.296;19.784;8.442;24.725;18.007;12.159;5.568;3.842;27.335;16.473;12.211;25.835;24.34;3.882;2.779;14.687;3.897;21.221;23.791;23.537;7.357;11.718;17.01;28.552;14.874;4.878;16.598;24.866;15.888;24.784;23.91;4.785;19.396;14.62;5.183;11.54;7.504;8.203;6.132;23.095;2.035;28.236;11.661;28.487;16.185;7.98;24.134;26.569;27.935
r17;27.052;29.557;17.103;8.486;7.037;22.38;15.297;7.373;4.022;10.547;23.803;29.856;12.582;27.854;21.24;11.024;20.192;23.596;13.823;12.067;24.651;20.929;7.617;2.86;11.764;1.295;6.888;2.323;12.465;27.131;10.49;3.742;1.965;1.652;28.846;11.416;7.898;3.404;16.994;23.672;13.782;14.498;5.859;20.1;4.613;2.745;25.345;13.368;19.645;24.945;19.671;28.908;5.554;29.753;23.568;16.566;10.583;25.988;10.951;28.245;29.987;1.538;12.051;21.082;9.389;22.93;28.864;26.487;27.342;22.059;22.564;3.489;18.892;2.022;15.515;22.896;5.042;16.157;17.964;28.426;2.197;2.8;23.415;5.142;5.182;27.011;5.572;18.152;12.014;7.685;23.992;17.577;12.13;8.74;18.619;22.388;6.698;2.756;7.507;18.737;18.07;20.789;3.292;20.991;12.077;25.515;25.234;18.272;17.313;23.657;14.7;21.029;28.812;16.931;27.028;2.101;8.091;18.829;26.636;6.119;9.662;17.541;5.86;22.267;19.706;4.597;9.099;2.4;13.647;27.709;10.409;28.675;23.11;26.067;23.244;6.797;10.93;23.215;28.704;8.675;7.664;15.637;6.993;15.868;14.916;8.025;4.953;16.305;16.286;7.021;2.0;3.291;4.478;9.323;5.944;22.349;4.633;8.746;14.055;20.907;23.39;22.016;8.763;23.943;25.323;15.082;3.288;27.666;3.148;23.738;15.586;12.73;18.997;13.711;16.339;29.429;9.421;13.616;3.875;5.289;2.887;9.667;17.763;3.218;23.382;15.333;6.489;20.403;13.67;2.615;27.553;18.716;9.123;20.116;17.267;20.91;19.208;2.629;3.057;14.757;24.459;21.825;16.39;6.821;22.542;24.587;17.852;4.11;8.096;7.577;11.578;21.633;17.263;27.778;8.108;7.538;15.841;17.805;15.718;27.529;2.156;8.98;8.745;25.893;22.881;2.81;12.377;5.001;2.455;5.928;23.331;22.393;23.464;20.756;13.026;17.492;27.899;10.537;24.093;21.022;27.764;10.756;22.083;10.317;12.734;14.142;27.097;25.116;26.952;26.155;2.394;2.694;24.877;7.476;2.373;12.601;7.503;2.484;27.081;17.688;25.014;18.135;17.418;16.512;17.089;20.889;17.369;19.375;20.91;2.691;12.777;12.628;11.715;10.593;23.761;25.823;17.447;24.627;14.659;3.427;4.562;25.675;20.633;19.044;16.229;16.794;19.345;2.523;23.353;9.572;16.907;3.635;12.902;29.789;10.167;13.001;9.037;25.874;2.898;25.085
r18;12.893;3.507;28.291;20.839;17.117;15.835;19.488;1.446;17.069;10.179;26.738;26.413;19.349;12.815;25.745;21.654;28.773;13.652;22.534;5.143;1.54;29.706;16.063;20.57;9.161;7.684;15.178;13.88;24.274;18.62;26.978;23.611;14.3;6.319;3.08;12.188;28.141;22.105;20.311;23.155;7.618;2.98;18.865;4.738;5.491;8.595;21.032;4.838;29.916;9.769;24.897;15.554;10.637;1.051;7.036;28.978;9.064;10.973;19.537;26.424;7.388;18.993;13.407;19.631;24.334;22.949;18.534;23.282;14.637;3.924;20.738;1.221;25.328;2.327;3.494;1.753;17.408;12.263;17.312;18.735;24.986;24.426;1.465;24.278;7.086;23.149;10.246;10.915;1.431;9.692;13.018;12.456;23.183;20.546;3.524;25.933;23.531;20.321;24.158;6.688;27.315;1.512;26.198;8.347;27.328;17.057;16.337;14.198;29.066;27.158;6.273;19.521;12.339;21.484;24.905;27.706;16.96;3.528;7.71;19.295;10.109;4.843;1.581;13.775;27.661;22.861;23.179;3.302;10.064;3.83;3.921;22.239;13.081;17.5;21.184;18.473;14.064;18.693;19.357;26.015;10.164;10.096;3.564;25.994;25.048;16.009;27.461;14.589;24.111;8.408;16.895;19.032;18.262;26.422;6.739;20.449;17.054;5.445;28.735;2.062;10.773;7.773;28.739;29.08;12.296;4.186;22.553;4.982;1.121;10.063;25.488;14.076;1.564;25.87;5.834;9.623;10.261;18.408;12.606;15.54;10.224;23.887;7.141;22.927;13.64;22.422;29.575;9.089;18.878;20.03;24.199;2.671;7.474;24.229;18.701;23.985;24.269;17.061;15.815;19.296;19.316;6.888;14.527;3.178;19.657;23.996;4.011;15.966;21.021;23.933;8.292;19.063;13.975;14.433;28.149;25.213;29.405;8.317;26.792;3.199;26.161;16.238;12.397;24.646;11.902;1.891;21.308;29.836;13.572;5.123;16.848;6.244;11.314;27.322;10.947;26.05;12.66;17.848;18.78;10.201;17.365;25.156;18.928;18.549;11.178;12.713;17.107;25.282;27.542;25.239;21.831;12.003;13.863;2.909;26.392;27.812;4.782;7.796;29.142;13.136;19.052;4.417;18.368;10.734;19.482;21.149;24.926;11.181;8.177;24.214;10.044;17.887;21.83;14.36;4.778;27.014;27.232;20.307;4.546;6.467;19.597;10.233;21.15;4.135;8.118;20.775;6.306;28.708;23.264;17.809;28.638;5.218;3.128;7.28;29.955;3.29;26.961;13.766;6.082;21.033
r19;29.543;15.097;22.181;27.939;4.156;12.424;26.904;21.251;21.326;2.377;4.978;5.628;4.878;12.895;4.463;15.935;7.037;7.183;7.357;25.959;25.122;13.652;22.891;8.03;6.693;13.349;16.147;18.61;3.947;9.289;18.444;18.148;23.966;17.617;8.756;17.086;2.869;2.103;28.352;22.952;23.758;2.906;5.101;9.641;12.615;7.546;29.973;20.482;7.708;1.818;2.056;4.764;18.527;28.405;20.001;19.611;9.309;15.814;21.137;23.852;25.342;17.755;23.924;5.181;15.341;18.465;12.708;1.018;4.896;14.003;20.971;3.275;4.589;18.843;27.366;21.109;19.252;29.151;8.24;28.351;21.524;21.352;1.603;6.844;2.123;7.048;12.139;18.038;13.481;22.924;14.006;28.139;22.091;19.781;13.175;21.876;5.278;18.789;29.557;10.847;24.426;16.357;23.593;9.797;20.161;21.388;17.152;22.584;22.194;27.847;4.373;6.94;9.318;9.765;2.624;4.732;20.911;27.25;9.856;13.454;5.604;8.412;23.414;22.246;24.415;21.807;28.37;6.771;3.818;22.012;14.206;24.298;9.905;6.94;24.289;25.691;4.394;5.898;7.408;25.541;22.727;1.342;5.095;26.459;26.169;8.57;26.742;13.0;17.796;11.792;8.333;22.995;16.096;15.057;18.656;28.192;20.483;5.276;29.869;10.198;1.384;8.391;5.704;27.798;29.945;28.551;26.251;23.951;25.902;10.62;21.613;12.093;3.472;16.018;15.246;27.808;25.996;19.233;7.591;1.849;16.779;20.048;12.19;6.148;16.526;28.621;21.062;4.223;23.307;7.132;12.722;17.4;14.765;11.483;5.526;20.394;29.668;23.735;29.055;23.796;12.479;19.519;27.297;8.348;19.42;15.566;10.618;19.555;15.347;17.801;14.416;18.282;19.724;28.123;21.189;16.686;11.357;15.234;28.391;10.049;10.114;1.257;14.17;14.199;15.841;18.666;8.413;29.764;19.962;9.722;23.556;7.042;5.139;6.167;9.159;14.099;26.241;27.858;15.436;16.935;14.968;22.348;10.223;23.078;26.882;25.831;23.906;24.196;16.103;27.913;17.839;20.893;12.432;18.267;15.039;17.119;7.568;2.235;2.504;14.295;20.907;3.556;12.974;5.766;17.475;19.049;16.756;18.882;12.314;10.885;6.115;27.083;6.072;3.149;23.359;21.939;27.407;1.483;20.144;12.761;1.315;11.039;23.223;23.851;26.646;13.398;23.74;7.768;17.423;21.505;8.787;25.558;2.45;13.426;8.574;9.717;21.055;4.448;7.216;7.421
